id;track_name;genre;artist_name;topic;release_date
0;mohabbat bhi jhoothi;pop;mukesh;sadness;1950
1;i believe;pop;frankie laine;world/life;1950
2;cry;pop;johnnie ray;music;1950
3;patricia;pop;pérez prado;romantic;1950
4;apopse eida oneiro;pop;giorgos papadopoulos;romantic;1950
5;round and round (with mitchell ayres and his orchestra & the ray charles singers);pop;perry como;violence;1950
6;opm medley: when i met you;pop;freestyle;world/life;1950
7;it's not for me to say;pop;johnny mathis;world/life;1950
8;klapse me mana klapse me;pop;stélios kazantzídis;romantic;1950
9;finito la mouzika;pop;stélios kazantzídis;sadness;1950
10;drømmer man om den, vågner..;pop;liva weel;obscene;1951
11;carolina moon;pop;the chordettes;night/time;1951
12;necessary evil;pop;frankie laine;obscene;1951
13;kanugona galano;pop;ghantasala;sadness;1951
14;the carioca;pop;les paul;romantic;1951
15;chicken reel;pop;les paul;world/life;1951
16;blue skies;pop;les paul;music;1951
17;dark eyes;pop;les paul;violence;1951
18;kotha mukunda;pop;asha bhosle;violence;1952
19;awaz deta hai sola ka din;pop;asha bhosle;feelings;1952
20;jahan men log sachhe ashikon ko;pop;mohammed rafi;sadness;1952
21;avanee nee pathi;pop;ghantasala;violence;1952
22;ee jagamantha natika;pop;ghantasala;romantic;1952
23;smoke rings;pop;les paul;music;1952
24;hum tujhse mohabbat kar ke;pop;mukesh;music;1952
25;paas nahin aaiye haath na lagaiye;pop;lata mangeshkar;night/time;1952
26;main na janoon;pop;lata mangeshkar;music;1952
27;gullyachi shapath;pop;asha bhosle;obscene;1952
28;judai ki khabar hoti agar;pop;lata mangeshkar;world/life;1952
29;maagata maagata janm gele;pop;lata mangeshkar;violence;1953
30;chupke chupke (from ''paying guest'');pop;lata mangeshkar;violence;1953
31;chahe kitna mujhe tum bulao ji;pop;asha bhosle;sadness;1953
32;tu bol na bol;pop;asha bhosle;romantic;1953
33;raat andheri door savera;pop;mukesh;world/life;1953
34;thunintha pin;pop;ghantasala;world/life;1953
35;i'm sitting on top of the world;pop;les paul;music;1953
36;the world is waiting for the sunrise;pop;les paul;romantic;1953
37;ethanai periya;pop;t. m. soundararajan;world/life;1953
38;ansoo to nahin hai ankhon men;pop;talat mahmood;obscene;1953
39;it's the most wonderful time of the year;pop;andy williams;night/time;1953
40;chandan ka palna resham ko dori;pop;lata mangeshkar;world/life;1954
41;le chal ri nindiya le chal hamen;pop;lata mangeshkar;violence;1954
42;after you've gone;pop;frankie laine;violence;1954
43;mere hamsafar tujhe kya khabar;pop;asha bhosle;romantic;1954
44;viljen i veta (would you like to know?);pop;sven-bertil taube;world/life;1954
45;blue velvet;pop;bobby vinton;music;1954
46;poema;pop;los hermanos arriagada;sadness;1954
47;the bells of st. mary's;pop;the drifters;music;1954
48;for me and my gal;pop;the chordettes;music;1954
49;mark twain;pop;harry belafonte;music;1954
50;the next big river;pop;harry belafonte;violence;1954
51;sitaron ki mehfil saji;pop;lata mangeshkar;violence;1954
52;gopiparivrito;pop;a. m. rajah;obscene;1954
53;you're the cream in my coffee;pop;jonah jones;music;1954
54;kabhi khamosh rahte hain;pop;lata mangeshkar;sadness;1955
55;khanke to khanke;pop;mohammed rafi;sadness;1955
56;here am i;pop;johnnie ray;sadness;1955
57;brazil;pop;les paul;world/life;1955
58;baby, won't you please come home;pop;les paul;violence;1955
59;jezebel;pop;frankie laine;violence;1955
60;two hound dogs;pop;bill haley & his comets;music;1955
61;sleep;pop;les paul;night/time;1955
62;mera dil yeh pukare aaja;pop;lata mangeshkar;sadness;1955
63;to you my love;pop;ted heath;violence;1955
64;believe in me;pop;ted heath;obscene;1956
65;take the “a” train;pop;ted heath;obscene;1956
66;pahuni raghunandan savala;pop;lata mangeshkar;obscene;1956
67;come rock with me;pop;bill haley & his comets;night/time;1956
68;antar mantar jantar;pop;lata mangeshkar;sadness;1956
69;kahan se yeh sholon ka toofan aaya;pop;lata mangeshkar;violence;1956
70;temptation;pop;the platters;sadness;1956
71;unchained melody;pop;harry belafonte;night/time;1956
72;on my word of honor;pop;the platters;romantic;1956
73;just my imagination (running away with me);pop;pete yorn;sadness;1956
74;don't you know i love you;pop;the clovers;world/life;1956
75;love, your magic spell is everywhere;pop;johnny mathis;sadness;1956
76;heart of stone;pop;the platters;violence;1956
77;have mercy;pop;the platters;romantic;1956
78;you've changed;pop;the platters;world/life;1956
